id,name,crs_code,tiploc_code
186,West Croydon,WCY,WCROYDN
187,Wimbledon Chase,WBO,WIMLCHS
188,Chiswick,CHK,CHISWCK
189,South Merton,SMO,SMERTON
190,Mortlake,MTL,MRTLKE
191,South Acton,SAT,SACTON
192,East Croydon,ECR,ECROYDN
193,Northumberland Park,NUM,NMBRLPK
194,Acton Main Line,AML,ACTONML
195,Harlesden,HDN,HARLSDN
196,White Hart Lane,WHL,WHHRTLA
197,Morden South,MDS,MORDENS
198,Barking,BKG,BARKING
199,Gunnersbury,GUN,GNRSBRY
200,West Wickham,WWI,WWICKHM
201,Hackbridge,HCB,HKBG
202,Bowes Park,BOP,BOWESPK
